Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = gs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
gs(0.9900,0,0) with tol=1.000000e-07 and maxit= 10000 iterations
   gs : iter =      1 ; delta = 2.000000e+00 ; diff = 1.674646e+00 ; dt =    13.9 sec ; nmult =      1
   gs : iter =      2 ; delta = 2.000000e+00 ; diff = 5.847618e-01 ; dt =    27.8 sec ; nmult =      2
   gs : iter =      3 ; delta = 2.000000e+00 ; diff = 2.319262e-01 ; dt =    41.6 sec ; nmult =      3
   gs : iter =      4 ; delta = 2.000000e+00 ; diff = 1.355396e-01 ; dt =    55.5 sec ; nmult =      4
   gs : iter =      5 ; delta = 2.000000e+00 ; diff = 9.776306e-02 ; dt =    69.4 sec ; nmult =      5
   gs : iter =      6 ; delta = 2.000000e+00 ; diff = 7.695139e-02 ; dt =    83.4 sec ; nmult =      6
   gs : iter =      7 ; delta = 2.000000e+00 ; diff = 6.325474e-02 ; dt =    97.1 sec ; nmult =      7
   gs : iter =      8 ; delta = 2.000000e+00 ; diff = 5.357053e-02 ; dt =   110.9 sec ; nmult =      8
   gs : iter =      9 ; delta = 2.000000e+00 ; diff = 4.622403e-02 ; dt =   124.6 sec ; nmult =      9
   gs : iter =     10 ; delta = 2.000000e+00 ; diff = 4.044345e-02 ; dt =   138.4 sec ; nmult =     10
   gs : iter =     11 ; delta = 2.000000e+00 ; diff = 3.582615e-02 ; dt =   152.2 sec ; nmult =     11
   gs : iter =     12 ; delta = 2.000000e+00 ; diff = 3.202216e-02 ; dt =   166.0 sec ; nmult =     12
   gs : iter =     13 ; delta = 2.000000e+00 ; diff = 2.882566e-02 ; dt =   179.9 sec ; nmult =     13
   gs : iter =     14 ; delta = 2.000000e+00 ; diff = 2.610463e-02 ; dt =   193.8 sec ; nmult =     14
   gs : iter =     15 ; delta = 2.000000e+00 ; diff = 2.376721e-02 ; dt =   207.8 sec ; nmult =     15
   gs : iter =     16 ; delta = 2.000000e+00 ; diff = 2.174684e-02 ; dt =   221.6 sec ; nmult =     16
   gs : iter =     17 ; delta = 2.000000e+00 ; diff = 1.999708e-02 ; dt =   235.3 sec ; nmult =     17
   gs : iter =     18 ; delta = 2.000000e+00 ; diff = 1.845517e-02 ; dt =   249.1 sec ; nmult =     18
   gs : iter =     19 ; delta = 2.000000e+00 ; diff = 1.708705e-02 ; dt =   262.9 sec ; nmult =     19
   gs : iter =     20 ; delta = 2.000000e+00 ; diff = 1.587506e-02 ; dt =   276.7 sec ; nmult =     20
   gs : iter =     21 ; delta = 2.000000e+00 ; diff = 1.478503e-02 ; dt =   290.6 sec ; nmult =     21
   gs : iter =     22 ; delta = 2.000000e+00 ; diff = 1.380531e-02 ; dt =   304.4 sec ; nmult =     22
   gs : iter =     23 ; delta = 2.000000e+00 ; diff = 1.292584e-02 ; dt =   318.3 sec ; nmult =     23
   gs : iter =     24 ; delta = 2.000000e+00 ; diff = 1.212373e-02 ; dt =   332.3 sec ; nmult =     24
