Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = gs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
gs(0.9900,0,0) with tol=1.000000e-07 and maxit= 10000 iterations
   gs : iter =      1 ; delta = 2.000000e+00 ; diff = 1.765338e+00 ; dt =    52.4 sec ; nmult =      1
   gs : iter =      2 ; delta = 2.000000e+00 ; diff = 5.929447e-01 ; dt =   104.2 sec ; nmult =      2
   gs : iter =      3 ; delta = 2.000000e+00 ; diff = 2.461696e-01 ; dt =   156.1 sec ; nmult =      3
   gs : iter =      4 ; delta = 2.000000e+00 ; diff = 1.514632e-01 ; dt =   208.1 sec ; nmult =      4
   gs : iter =      5 ; delta = 2.000000e+00 ; diff = 1.077129e-01 ; dt =   259.7 sec ; nmult =      5
   gs : iter =      6 ; delta = 2.000000e+00 ; diff = 8.419760e-02 ; dt =   311.7 sec ; nmult =      6
   gs : iter =      7 ; delta = 2.000000e+00 ; diff = 6.839570e-02 ; dt =   363.4 sec ; nmult =      7
   gs : iter =      8 ; delta = 2.000000e+00 ; diff = 5.722095e-02 ; dt =   415.3 sec ; nmult =      8
   gs : iter =      9 ; delta = 2.000000e+00 ; diff = 4.877154e-02 ; dt =   467.0 sec ; nmult =      9
   gs : iter =     10 ; delta = 2.000000e+00 ; diff = 4.240796e-02 ; dt =   519.0 sec ; nmult =     10
   gs : iter =     11 ; delta = 2.000000e+00 ; diff = 3.730250e-02 ; dt =   570.7 sec ; nmult =     11
   gs : iter =     12 ; delta = 2.000000e+00 ; diff = 3.326069e-02 ; dt =   622.5 sec ; nmult =     12
   gs : iter =     13 ; delta = 2.000000e+00 ; diff = 2.976483e-02 ; dt =   674.2 sec ; nmult =     13
   gs : iter =     14 ; delta = 2.000000e+00 ; diff = 2.690434e-02 ; dt =   726.1 sec ; nmult =     14
   gs : iter =     15 ; delta = 2.000000e+00 ; diff = 2.440441e-02 ; dt =   777.9 sec ; nmult =     15
   gs : iter =     16 ; delta = 2.000000e+00 ; diff = 2.232833e-02 ; dt =   829.9 sec ; nmult =     16
   gs : iter =     17 ; delta = 2.000000e+00 ; diff = 2.046230e-02 ; dt =   882.0 sec ; nmult =     17
   gs : iter =     18 ; delta = 2.000000e+00 ; diff = 1.889426e-02 ; dt =   933.9 sec ; nmult =     18
   gs : iter =     19 ; delta = 2.000000e+00 ; diff = 1.749492e-02 ; dt =   985.7 sec ; nmult =     19
   gs : iter =     20 ; delta = 2.000000e+00 ; diff = 1.630379e-02 ; dt =  1037.4 sec ; nmult =     20
   gs : iter =     21 ; delta = 2.000000e+00 ; diff = 1.519333e-02 ; dt =  1089.5 sec ; nmult =     21
   gs : iter =     22 ; delta = 2.000000e+00 ; diff = 1.428133e-02 ; dt =  1141.2 sec ; nmult =     22
   gs : iter =     23 ; delta = 2.000000e+00 ; diff = 1.344871e-02 ; dt =  1193.1 sec ; nmult =     23
   gs : iter =     24 ; delta = 2.000000e+00 ; diff = 1.271891e-02 ; dt =  1244.9 sec ; nmult =     24
   gs : iter =     25 ; delta = 2.000000e+00 ; diff = 1.201533e-02 ; dt =  1296.9 sec ; nmult =     25
   gs : iter =     26 ; delta = 2.000000e+00 ; diff = 1.138938e-02 ; dt =  1348.6 sec ; nmult =     26
   gs : iter =     27 ; delta = 2.000000e+00 ; diff = 1.078410e-02 ; dt =  1400.5 sec ; nmult =     27
   gs : iter =     28 ; delta = 2.000000e+00 ; diff = 1.023952e-02 ; dt =  1452.4 sec ; nmult =     28
   gs : iter =     29 ; delta = 2.000000e+00 ; diff = 9.713843e-03 ; dt =  1504.4 sec ; nmult =     29
   gs : iter =     30 ; delta = 2.000000e+00 ; diff = 9.236497e-03 ; dt =  1556.2 sec ; nmult =     30
   gs : iter =     31 ; delta = 2.000000e+00 ; diff = 8.775883e-03 ; dt =  1608.2 sec ; nmult =     31
   gs : iter =     32 ; delta = 2.000000e+00 ; diff = 8.352645e-03 ; dt =  1660.2 sec ; nmult =     32
   gs : iter =     33 ; delta = 2.000000e+00 ; diff = 7.945686e-03 ; dt =  1712.0 sec ; nmult =     33
   gs : iter =     34 ; delta = 2.000000e+00 ; diff = 7.570120e-03 ; dt =  1764.1 sec ; nmult =     34
   gs : iter =     35 ; delta = 2.000000e+00 ; diff = 7.213130e-03 ; dt =  1815.8 sec ; nmult =     35
   gs : iter =     36 ; delta = 2.000000e+00 ; diff = 6.880321e-03 ; dt =  1867.8 sec ; nmult =     36
   gs : iter =     37 ; delta = 2.000000e+00 ; diff = 6.562802e-03 ; dt =  1919.5 sec ; nmult =     37
   gs : iter =     38 ; delta = 2.000000e+00 ; diff = 6.263256e-03 ; dt =  1971.5 sec ; nmult =     38
   gs : iter =     39 ; delta = 2.000000e+00 ; diff = 5.980583e-03 ; dt =  2023.2 sec ; nmult =     39
   gs : iter =     40 ; delta = 2.000000e+00 ; diff = 5.712440e-03 ; dt =  2075.3 sec ; nmult =     40
   gs : iter =     41 ; delta = 2.000000e+00 ; diff = 5.461247e-03 ; dt =  2126.9 sec ; nmult =     41
   gs : iter =     42 ; delta = 2.000000e+00 ; diff = 5.220429e-03 ; dt =  2178.7 sec ; nmult =     42
   gs : iter =     43 ; delta = 2.000000e+00 ; diff = 4.995956e-03 ; dt =  2230.3 sec ; nmult =     43
   gs : iter =     44 ; delta = 2.000000e+00 ; diff = 4.777663e-03 ; dt =  2282.3 sec ; nmult =     44
   gs : iter =     45 ; delta = 2.000000e+00 ; diff = 4.575761e-03 ; dt =  2334.1 sec ; nmult =     45
   gs : iter =     46 ; delta = 2.000000e+00 ; diff = 4.377158e-03 ; dt =  2385.9 sec ; nmult =     46
   gs : iter =     47 ; delta = 2.000000e+00 ; diff = 4.195272e-03 ; dt =  2437.7 sec ; nmult =     47
   gs : iter =     48 ; delta = 2.000000e+00 ; diff = 4.014262e-03 ; dt =  2489.3 sec ; nmult =     48
   gs : iter =     49 ; delta = 2.000000e+00 ; diff = 3.850003e-03 ; dt =  2541.1 sec ; nmult =     49
   gs : iter =     50 ; delta = 2.000000e+00 ; diff = 3.684666e-03 ; dt =  2592.8 sec ; nmult =     50
   gs : iter =     51 ; delta = 2.000000e+00 ; diff = 3.536760e-03 ; dt =  2644.7 sec ; nmult =     51
   gs : iter =     52 ; delta = 2.000000e+00 ; diff = 3.386595e-03 ; dt =  2696.3 sec ; nmult =     52
   gs : iter =     53 ; delta = 2.000000e+00 ; diff = 3.253854e-03 ; dt =  2748.2 sec ; nmult =     53
   gs : iter =     54 ; delta = 2.000000e+00 ; diff = 3.116765e-03 ; dt =  2799.7 sec ; nmult =     54
   gs : iter =     55 ; delta = 2.000000e+00 ; diff = 2.996763e-03 ; dt =  2851.7 sec ; nmult =     55
   gs : iter =     56 ; delta = 2.000000e+00 ; diff = 2.871190e-03 ; dt =  2903.2 sec ; nmult =     56
   gs : iter =     57 ; delta = 2.000000e+00 ; diff = 2.762634e-03 ; dt =  2955.1 sec ; nmult =     57
   gs : iter =     58 ; delta = 2.000000e+00 ; diff = 2.647309e-03 ; dt =  3006.7 sec ; nmult =     58
   gs : iter =     59 ; delta = 2.000000e+00 ; diff = 2.548851e-03 ; dt =  3058.8 sec ; nmult =     59
   gs : iter =     60 ; delta = 2.000000e+00 ; diff = 2.442759e-03 ; dt =  3110.5 sec ; nmult =     60
   gs : iter =     61 ; delta = 2.000000e+00 ; diff = 2.353504e-03 ; dt =  3162.3 sec ; nmult =     61
   gs : iter =     62 ; delta = 2.000000e+00 ; diff = 2.255844e-03 ; dt =  3214.1 sec ; nmult =     62
   gs : iter =     63 ; delta = 2.000000e+00 ; diff = 2.174879e-03 ; dt =  3266.0 sec ; nmult =     63
   gs : iter =     64 ; delta = 2.000000e+00 ; diff = 2.085031e-03 ; dt =  3317.8 sec ; nmult =     64
   gs : iter =     65 ; delta = 2.000000e+00 ; diff = 2.011678e-03 ; dt =  3369.5 sec ; nmult =     65
   gs : iter =     66 ; delta = 2.000000e+00 ; diff = 1.928815e-03 ; dt =  3421.3 sec ; nmult =     66
   gs : iter =     67 ; delta = 2.000000e+00 ; diff = 1.862128e-03 ; dt =  3473.1 sec ; nmult =     67
   gs : iter =     68 ; delta = 2.000000e+00 ; diff = 1.785547e-03 ; dt =  3524.8 sec ; nmult =     68
   gs : iter =     69 ; delta = 2.000000e+00 ; diff = 1.724845e-03 ; dt =  3576.4 sec ; nmult =     69
   gs : iter =     70 ; delta = 2.000000e+00 ; diff = 1.653922e-03 ; dt =  3628.2 sec ; nmult =     70
   gs : iter =     71 ; delta = 2.000000e+00 ; diff = 1.598613e-03 ; dt =  3680.6 sec ; nmult =     71
   gs : iter =     72 ; delta = 2.000000e+00 ; diff = 1.532916e-03 ; dt =  3734.2 sec ; nmult =     72
   gs : iter =     73 ; delta = 2.000000e+00 ; diff = 1.482568e-03 ; dt =  3786.1 sec ; nmult =     73
   gs : iter =     74 ; delta = 2.000000e+00 ; diff = 1.421644e-03 ; dt =  3837.8 sec ; nmult =     74
   gs : iter =     75 ; delta = 2.000000e+00 ; diff = 1.375756e-03 ; dt =  3889.3 sec ; nmult =     75
   gs : iter =     76 ; delta = 2.000000e+00 ; diff = 1.319315e-03 ; dt =  3941.0 sec ; nmult =     76
   gs : iter =     77 ; delta = 2.000000e+00 ; diff = 1.277560e-03 ; dt =  3992.5 sec ; nmult =     77
   gs : iter =     78 ; delta = 2.000000e+00 ; diff = 1.225163e-03 ; dt =  4044.2 sec ; nmult =     78
   gs : iter =     79 ; delta = 2.000000e+00 ; diff = 1.187105e-03 ; dt =  4095.8 sec ; nmult =     79
   gs : iter =     80 ; delta = 2.000000e+00 ; diff = 1.138425e-03 ; dt =  4147.1 sec ; nmult =     80
   gs : iter =     81 ; delta = 2.000000e+00 ; diff = 1.103774e-03 ; dt =  4198.7 sec ; nmult =     81
   gs : iter =     82 ; delta = 2.000000e+00 ; diff = 1.058540e-03 ; dt =  4250.2 sec ; nmult =     82
   gs : iter =     83 ; delta = 2.000000e+00 ; diff = 1.026889e-03 ; dt =  4301.8 sec ; nmult =     83
   gs : iter =     84 ; delta = 2.000000e+00 ; diff = 9.847428e-04 ; dt =  4353.3 sec ; nmult =     84
   gs : iter =     85 ; delta = 2.000000e+00 ; diff = 9.558486e-04 ; dt =  4404.9 sec ; nmult =     85
   gs : iter =     86 ; delta = 2.000000e+00 ; diff = 9.165888e-04 ; dt =  4456.3 sec ; nmult =     86
   gs : iter =     87 ; delta = 2.000000e+00 ; diff = 8.902302e-04 ; dt =  4507.9 sec ; nmult =     87
   gs : iter =     88 ; delta = 2.000000e+00 ; diff = 8.537338e-04 ; dt =  4559.3 sec ; nmult =     88
   gs : iter =     89 ; delta = 2.000000e+00 ; diff = 8.297616e-04 ; dt =  4610.9 sec ; nmult =     89
   gs : iter =     90 ; delta = 2.000000e+00 ; diff = 7.958460e-04 ; dt =  4662.4 sec ; nmult =     90
   gs : iter =     91 ; delta = 2.000000e+00 ; diff = 7.740855e-04 ; dt =  4714.1 sec ; nmult =     91
   gs : iter =     92 ; delta = 2.000000e+00 ; diff = 7.424697e-04 ; dt =  4765.5 sec ; nmult =     92
