Parameters: 
   graphfile = /var/tmp/dgleich/data/arabic-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 22744080
edges = 639999458
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.248935e+00 ; dt =    14.0
 iogs (outer) : iter =      1 ; odelta = 2.979781e-01 ; dt =    84.8 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.042371e-01 ; dt =   140.7 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.819490e-02 ; dt =   196.4 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 4.182776e-02 ; dt =   251.8 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 3.308848e-02 ; dt =   307.9 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.744431e-02 ; dt =   363.6 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 2.343006e-02 ; dt =   419.3 ; nmult =        30
 iogs (outer) : iter =      8 ; odelta = 2.054682e-02 ; dt =   461.0 ; nmult =        33
 iogs (outer) : iter =      9 ; odelta = 1.827283e-02 ; dt =   502.9 ; nmult =        36
 iogs (outer) : iter =     10 ; odelta = 1.642257e-02 ; dt =   545.2 ; nmult =        39
 iogs (outer) : iter =     11 ; odelta = 1.488765e-02 ; dt =   587.4 ; nmult =        42
 iogs (outer) : iter =     12 ; odelta = 1.358659e-02 ; dt =   629.2 ; nmult =        45
 iogs (outer) : iter =     13 ; odelta = 1.246495e-02 ; dt =   671.1 ; nmult =        48
 iogs (outer) : iter =     14 ; odelta = 1.148668e-02 ; dt =   713.0 ; nmult =        51
 iogs (outer) : iter =     15 ; odelta = 1.062674e-02 ; dt =   754.9 ; nmult =        54
 iogs (outer) : iter =     16 ; odelta = 9.865139e-03 ; dt =   796.7 ; nmult =        57
 iogs (   gs) : iter =     17 ; delta = 9.865139e-03 ; diff = 8.001538e-02 ; dt =   810.8 sec ; nmult =     58
 iogs (   gs) : iter =     18 ; delta = 9.865139e-03 ; diff = 2.000856e-02 ; dt =   824.6 sec ; nmult =     59
 iogs (   gs) : iter =     19 ; delta = 9.865139e-03 ; diff = 1.869012e-02 ; dt =   838.8 sec ; nmult =     60
 iogs (   gs) : iter =     20 ; delta = 9.865139e-03 ; diff = 1.724210e-02 ; dt =   852.6 sec ; nmult =     61
 iogs (   gs) : iter =     21 ; delta = 9.865139e-03 ; diff = 1.593583e-02 ; dt =   866.6 sec ; nmult =     62
 iogs (   gs) : iter =     22 ; delta = 9.865139e-03 ; diff = 1.477015e-02 ; dt =   880.7 sec ; nmult =     63
 iogs (   gs) : iter =     23 ; delta = 9.865139e-03 ; diff = 1.373844e-02 ; dt =   894.7 sec ; nmult =     64
 iogs (   gs) : iter =     24 ; delta = 9.865139e-03 ; diff = 1.281108e-02 ; dt =   908.8 sec ; nmult =     65
 iogs (   gs) : iter =     25 ; delta = 9.865139e-03 ; diff = 1.198117e-02 ; dt =   922.8 sec ; nmult =     66
 iogs (   gs) : iter =     26 ; delta = 9.865139e-03 ; diff = 1.122793e-02 ; dt =   936.8 sec ; nmult =     67
 iogs (   gs) : iter =     27 ; delta = 9.865139e-03 ; diff = 1.054001e-02 ; dt =   950.8 sec ; nmult =     68
 iogs (   gs) : iter =     28 ; delta = 9.865139e-03 ; diff = 9.909455e-03 ; dt =   964.8 sec ; nmult =     69
 iogs (   gs) : iter =     29 ; delta = 9.865139e-03 ; diff = 9.332899e-03 ; dt =   978.7 sec ; nmult =     70
 iogs (   gs) : iter =     30 ; delta = 9.865139e-03 ; diff = 8.800106e-03 ; dt =   992.8 sec ; nmult =     71
