Parameters: 
   graphfile = /var/tmp/dgleich/data/sk-2005-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 50636154
edges = 1949412601
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.322439e+00 ; dt =    51.2
 iogs (outer) : iter =      1 ; odelta = 3.222867e-01 ; dt =   313.3 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.116112e-01 ; dt =   575.4 ; nmult =        11
 iogs (outer) : iter =      3 ; odelta = 6.298903e-02 ; dt =   785.6 ; nmult =        15
 iogs (outer) : iter =      4 ; odelta = 4.488223e-02 ; dt =   996.3 ; nmult =        19
 iogs (outer) : iter =      5 ; odelta = 3.503196e-02 ; dt =  1207.8 ; nmult =        23
 iogs (outer) : iter =      6 ; odelta = 2.874110e-02 ; dt =  1420.5 ; nmult =        27
 iogs (outer) : iter =      7 ; odelta = 2.436960e-02 ; dt =  1633.2 ; nmult =        31
 iogs (outer) : iter =      8 ; odelta = 2.123207e-02 ; dt =  1792.6 ; nmult =        34
 iogs (outer) : iter =      9 ; odelta = 1.874127e-02 ; dt =  1952.1 ; nmult =        37
 iogs (outer) : iter =     10 ; odelta = 1.674043e-02 ; dt =  2111.7 ; nmult =        40
 iogs (outer) : iter =     11 ; odelta = 1.509967e-02 ; dt =  2271.5 ; nmult =        43
 iogs (outer) : iter =     12 ; odelta = 1.371312e-02 ; dt =  2431.5 ; nmult =        46
 iogs (outer) : iter =     13 ; odelta = 1.253646e-02 ; dt =  2591.5 ; nmult =        49
 iogs (outer) : iter =     14 ; odelta = 1.153236e-02 ; dt =  2751.8 ; nmult =        52
 iogs (outer) : iter =     15 ; odelta = 1.065097e-02 ; dt =  2912.3 ; nmult =        55
 iogs (outer) : iter =     16 ; odelta = 9.870745e-03 ; dt =  3073.1 ; nmult =        58
 iogs (   gs) : iter =     17 ; delta = 9.870745e-03 ; diff = 9.082983e-02 ; dt =  3126.8 sec ; nmult =     59
 iogs (   gs) : iter =     18 ; delta = 9.870745e-03 ; diff = 1.975692e-02 ; dt =  3181.0 sec ; nmult =     60
 iogs (   gs) : iter =     19 ; delta = 9.870745e-03 ; diff = 1.831990e-02 ; dt =  3234.5 sec ; nmult =     61
 iogs (   gs) : iter =     20 ; delta = 9.870745e-03 ; diff = 1.668244e-02 ; dt =  3288.1 sec ; nmult =     62
 iogs (   gs) : iter =     21 ; delta = 9.870745e-03 ; diff = 1.536715e-02 ; dt =  3341.5 sec ; nmult =     63
 iogs (   gs) : iter =     22 ; delta = 9.870745e-03 ; diff = 1.413187e-02 ; dt =  3395.1 sec ; nmult =     64
 iogs (   gs) : iter =     23 ; delta = 9.870745e-03 ; diff = 1.315632e-02 ; dt =  3448.7 sec ; nmult =     65
 iogs (   gs) : iter =     24 ; delta = 9.870745e-03 ; diff = 1.223106e-02 ; dt =  3502.6 sec ; nmult =     66
 iogs (   gs) : iter =     25 ; delta = 9.870745e-03 ; diff = 1.149790e-02 ; dt =  3556.3 sec ; nmult =     67
 iogs (   gs) : iter =     26 ; delta = 9.870745e-03 ; diff = 1.080361e-02 ; dt =  3610.0 sec ; nmult =     68
 iogs (   gs) : iter =     27 ; delta = 9.870745e-03 ; diff = 1.026075e-02 ; dt =  3663.5 sec ; nmult =     69
 iogs (   gs) : iter =     28 ; delta = 9.870745e-03 ; diff = 9.688820e-03 ; dt =  3717.3 sec ; nmult =     70
 iogs (   gs) : iter =     29 ; delta = 9.870745e-03 ; diff = 9.224999e-03 ; dt =  3770.9 sec ; nmult =     71
 iogs (   gs) : iter =     30 ; delta = 9.870745e-03 ; diff = 8.731376e-03 ; dt =  3824.6 sec ; nmult =     72
