Parameters: 
   graphfile = /var/tmp/dgleich/data/uk-2007-05-trans
      output = none
         alg = inoutgs
       alpha = 0.99
         tol = 1e-07
       maxit = 10000

nodes = 105896555
edges = -556233648
inoutgs(0.9900,0.5000,1.000000e-02,0) with tol=1.000000e-07 and maxit= 10000 iterations
 iogs (outer) : iter =      0 ; odelta = 1.372126e+00 ; dt =    74.1
 iogs (outer) : iter =      1 ; odelta = 3.233951e-01 ; dt =   450.0 ; nmult =         6
 iogs (outer) : iter =      2 ; odelta = 1.016377e-01 ; dt =   750.1 ; nmult =        10
 iogs (outer) : iter =      3 ; odelta = 5.165859e-02 ; dt =  1051.2 ; nmult =        14
 iogs (outer) : iter =      4 ; odelta = 3.553289e-02 ; dt =  1356.1 ; nmult =        18
 iogs (outer) : iter =      5 ; odelta = 2.768575e-02 ; dt =  1657.6 ; nmult =        22
 iogs (outer) : iter =      6 ; odelta = 2.279923e-02 ; dt =  1957.9 ; nmult =        26
 iogs (outer) : iter =      7 ; odelta = 1.956650e-02 ; dt =  2182.9 ; nmult =        29
 iogs (outer) : iter =      8 ; odelta = 1.712007e-02 ; dt =  2407.8 ; nmult =        32
 iogs (outer) : iter =      9 ; odelta = 1.518777e-02 ; dt =  2632.9 ; nmult =        35
 iogs (outer) : iter =     10 ; odelta = 1.361657e-02 ; dt =  2857.9 ; nmult =        38
 iogs (outer) : iter =     11 ; odelta = 1.231441e-02 ; dt =  3086.0 ; nmult =        41
 iogs (outer) : iter =     12 ; odelta = 1.121734e-02 ; dt =  3312.5 ; nmult =        44
 iogs (outer) : iter =     13 ; odelta = 1.027849e-02 ; dt =  3537.4 ; nmult =        47
 iogs (outer) : iter =     14 ; odelta = 9.466533e-03 ; dt =  3762.2 ; nmult =        50
 iogs (   gs) : iter =     15 ; delta = 9.466533e-03 ; diff = 3.722533e-02 ; dt =  3838.1 sec ; nmult =     51
 iogs (   gs) : iter =     16 ; delta = 9.466533e-03 ; diff = 1.851168e-02 ; dt =  3913.2 sec ; nmult =     52
 iogs (   gs) : iter =     17 ; delta = 9.466533e-03 ; diff = 1.721824e-02 ; dt =  3988.3 sec ; nmult =     53
 iogs (   gs) : iter =     18 ; delta = 9.466533e-03 ; diff = 1.582725e-02 ; dt =  4063.4 sec ; nmult =     54
 iogs (   gs) : iter =     19 ; delta = 9.466533e-03 ; diff = 1.458434e-02 ; dt =  4138.5 sec ; nmult =     55
 iogs (   gs) : iter =     20 ; delta = 9.466533e-03 ; diff = 1.348488e-02 ; dt =  4213.6 sec ; nmult =     56
 iogs (   gs) : iter =     21 ; delta = 9.466533e-03 ; diff = 1.251462e-02 ; dt =  4288.7 sec ; nmult =     57
 iogs (   gs) : iter =     22 ; delta = 9.466533e-03 ; diff = 1.164652e-02 ; dt =  4363.8 sec ; nmult =     58
 iogs (   gs) : iter =     23 ; delta = 9.466533e-03 ; diff = 1.086711e-02 ; dt =  4439.0 sec ; nmult =     59
 iogs (   gs) : iter =     24 ; delta = 9.466533e-03 ; diff = 1.015971e-02 ; dt =  4514.1 sec ; nmult =     60
 iogs (   gs) : iter =     25 ; delta = 9.466533e-03 ; diff = 9.519416e-03 ; dt =  4589.1 sec ; nmult =     61
 iogs (   gs) : iter =     26 ; delta = 9.466533e-03 ; diff = 8.936143e-03 ; dt =  4664.2 sec ; nmult =     62
 iogs (   gs) : iter =     27 ; delta = 9.466533e-03 ; diff = 8.406038e-03 ; dt =  4740.4 sec ; nmult =     63
 iogs (   gs) : iter =     28 ; delta = 9.466533e-03 ; diff = 7.920780e-03 ; dt =  4816.5 sec ; nmult =     64
 iogs (   gs) : iter =     29 ; delta = 9.466533e-03 ; diff = 7.476856e-03 ; dt =  4892.6 sec ; nmult =     65
 iogs (   gs) : iter =     30 ; delta = 9.466533e-03 ; diff = 7.066811e-03 ; dt =  4968.8 sec ; nmult =     66
 iogs (   gs) : iter =     31 ; delta = 9.466533e-03 ; diff = 6.688086e-03 ; dt =  5044.4 sec ; nmult =     67
 iogs (   gs) : iter =     32 ; delta = 9.466533e-03 ; diff = 6.335938e-03 ; dt =  5119.5 sec ; nmult =     68
 iogs (   gs) : iter =     33 ; delta = 9.466533e-03 ; diff = 6.009285e-03 ; dt =  5194.7 sec ; nmult =     69
 iogs (   gs) : iter =     34 ; delta = 9.466533e-03 ; diff = 5.704826e-03 ; dt =  5269.8 sec ; nmult =     70
 iogs (   gs) : iter =     35 ; delta = 9.466533e-03 ; diff = 5.421037e-03 ; dt =  5344.9 sec ; nmult =     71
 iogs (   gs) : iter =     36 ; delta = 9.466533e-03 ; diff = 5.154917e-03 ; dt =  5420.0 sec ; nmult =     72
 iogs (   gs) : iter =     37 ; delta = 9.466533e-03 ; diff = 4.906224e-03 ; dt =  5495.2 sec ; nmult =     73
 iogs (   gs) : iter =     38 ; delta = 9.466533e-03 ; diff = 4.672759e-03 ; dt =  5570.3 sec ; nmult =     74
 iogs (   gs) : iter =     39 ; delta = 9.466533e-03 ; diff = 4.453702e-03 ; dt =  5645.6 sec ; nmult =     75
 iogs (   gs) : iter =     40 ; delta = 9.466533e-03 ; diff = 4.246968e-03 ; dt =  5720.7 sec ; nmult =     76
 iogs (   gs) : iter =     41 ; delta = 9.466533e-03 ; diff = 4.052589e-03 ; dt =  5796.6 sec ; nmult =     77
 iogs (   gs) : iter =     42 ; delta = 9.466533e-03 ; diff = 3.869119e-03 ; dt =  5871.7 sec ; nmult =     78
 iogs (   gs) : iter =     43 ; delta = 9.466533e-03 ; diff = 3.696366e-03 ; dt =  5946.8 sec ; nmult =     79
 iogs (   gs) : iter =     44 ; delta = 9.466533e-03 ; diff = 3.532872e-03 ; dt =  6021.9 sec ; nmult =     80
 iogs (   gs) : iter =     45 ; delta = 9.466533e-03 ; diff = 3.378997e-03 ; dt =  6097.1 sec ; nmult =     81
 iogs (   gs) : iter =     46 ; delta = 9.466533e-03 ; diff = 3.233093e-03 ; dt =  6172.2 sec ; nmult =     82
 iogs (   gs) : iter =     47 ; delta = 9.466533e-03 ; diff = 3.095407e-03 ; dt =  6247.5 sec ; nmult =     83
 iogs (   gs) : iter =     48 ; delta = 9.466533e-03 ; diff = 2.964575e-03 ; dt =  6322.7 sec ; nmult =     84
 iogs (   gs) : iter =     49 ; delta = 9.466533e-03 ; diff = 2.840833e-03 ; dt =  6397.8 sec ; nmult =     85
 iogs (   gs) : iter =     50 ; delta = 9.466533e-03 ; diff = 2.723121e-03 ; dt =  6473.1 sec ; nmult =     86
 iogs (   gs) : iter =     51 ; delta = 9.466533e-03 ; diff = 2.611779e-03 ; dt =  6549.3 sec ; nmult =     87
 iogs (   gs) : iter =     52 ; delta = 9.466533e-03 ; diff = 2.505744e-03 ; dt =  6625.4 sec ; nmult =     88
 iogs (   gs) : iter =     53 ; delta = 9.466533e-03 ; diff = 2.405333e-03 ; dt =  6701.6 sec ; nmult =     89
 iogs (   gs) : iter =     54 ; delta = 9.466533e-03 ; diff = 2.309401e-03 ; dt =  6777.7 sec ; nmult =     90
 iogs (   gs) : iter =     55 ; delta = 9.466533e-03 ; diff = 2.218355e-03 ; dt =  6853.2 sec ; nmult =     91
 iogs (   gs) : iter =     56 ; delta = 9.466533e-03 ; diff = 2.131309e-03 ; dt =  6928.3 sec ; nmult =     92
 iogs (   gs) : iter =     57 ; delta = 9.466533e-03 ; diff = 2.048711e-03 ; dt =  7003.4 sec ; nmult =     93
 iogs (   gs) : iter =     58 ; delta = 9.466533e-03 ; diff = 1.969765e-03 ; dt =  7078.5 sec ; nmult =     94
 iogs (   gs) : iter =     59 ; delta = 9.466533e-03 ; diff = 1.894797e-03 ; dt =  7153.6 sec ; nmult =     95
 iogs (   gs) : iter =     60 ; delta = 9.466533e-03 ; diff = 1.823020e-03 ; dt =  7228.7 sec ; nmult =     96
 iogs (   gs) : iter =     61 ; delta = 9.466533e-03 ; diff = 1.755155e-03 ; dt =  7303.8 sec ; nmult =     97
 iogs (   gs) : iter =     62 ; delta = 9.466533e-03 ; diff = 1.690669e-03 ; dt =  7378.9 sec ; nmult =     98
 iogs (   gs) : iter =     63 ; delta = 9.466533e-03 ; diff = 1.629380e-03 ; dt =  7454.1 sec ; nmult =     99
 iogs (   gs) : iter =     64 ; delta = 9.466533e-03 ; diff = 1.570504e-03 ; dt =  7529.2 sec ; nmult =    100
 iogs (   gs) : iter =     65 ; delta = 9.466533e-03 ; diff = 1.514419e-03 ; dt =  7604.4 sec ; nmult =    101
 iogs (   gs) : iter =     66 ; delta = 9.466533e-03 ; diff = 1.460439e-03 ; dt =  7679.5 sec ; nmult =    102
 iogs (   gs) : iter =     67 ; delta = 9.466533e-03 ; diff = 1.409044e-03 ; dt =  7754.5 sec ; nmult =    103
 iogs (   gs) : iter =     68 ; delta = 9.466533e-03 ; diff = 1.359662e-03 ; dt =  7829.6 sec ; nmult =    104
 iogs (   gs) : iter =     69 ; delta = 9.466533e-03 ; diff = 1.312632e-03 ; dt =  7904.7 sec ; nmult =    105
 iogs (   gs) : iter =     70 ; delta = 9.466533e-03 ; diff = 1.267331e-03 ; dt =  7979.9 sec ; nmult =    106
 iogs (   gs) : iter =     71 ; delta = 9.466533e-03 ; diff = 1.224131e-03 ; dt =  8055.1 sec ; nmult =    107
 iogs (   gs) : iter =     72 ; delta = 9.466533e-03 ; diff = 1.182393e-03 ; dt =  8130.2 sec ; nmult =    108
 iogs (   gs) : iter =     73 ; delta = 9.466533e-03 ; diff = 1.142513e-03 ; dt =  8205.3 sec ; nmult =    109
 iogs (   gs) : iter =     74 ; delta = 9.466533e-03 ; diff = 1.103972e-03 ; dt =  8280.6 sec ; nmult =    110
 iogs (   gs) : iter =     75 ; delta = 9.466533e-03 ; diff = 1.067141e-03 ; dt =  8356.8 sec ; nmult =    111
 iogs (   gs) : iter =     76 ; delta = 9.466533e-03 ; diff = 1.031491e-03 ; dt =  8432.9 sec ; nmult =    112
 iogs (   gs) : iter =     77 ; delta = 9.466533e-03 ; diff = 9.974037e-04 ; dt =  8509.1 sec ; nmult =    113
 iogs (   gs) : iter =     78 ; delta = 9.466533e-03 ; diff = 9.644093e-04 ; dt =  8585.2 sec ; nmult =    114
 iogs (   gs) : iter =     79 ; delta = 9.466533e-03 ; diff = 9.328680e-04 ; dt =  8661.2 sec ; nmult =    115
 iogs (   gs) : iter =     80 ; delta = 9.466533e-03 ; diff = 9.023202e-04 ; dt =  8736.4 sec ; nmult =    116
 iogs (   gs) : iter =     81 ; delta = 9.466533e-03 ; diff = 8.731727e-04 ; dt =  8811.5 sec ; nmult =    117
 iogs (   gs) : iter =     82 ; delta = 9.466533e-03 ; diff = 8.449146e-04 ; dt =  8887.2 sec ; nmult =    118
 iogs (   gs) : iter =     83 ; delta = 9.466533e-03 ; diff = 8.178945e-04 ; dt =  8963.0 sec ; nmult =    119
 iogs (   gs) : iter =     84 ; delta = 9.466533e-03 ; diff = 7.916847e-04 ; dt =  9038.1 sec ; nmult =    120
 iogs (   gs) : iter =     85 ; delta = 9.466533e-03 ; diff = 7.666390e-04 ; dt =  9113.2 sec ; nmult =    121
 iogs (   gs) : iter =     86 ; delta = 9.466533e-03 ; diff = 7.423082e-04 ; dt =  9188.3 sec ; nmult =    122
 iogs (   gs) : iter =     87 ; delta = 9.466533e-03 ; diff = 7.190265e-04 ; dt =  9263.6 sec ; nmult =    123
 iogs (   gs) : iter =     88 ; delta = 9.466533e-03 ; diff = 6.963698e-04 ; dt =  9338.7 sec ; nmult =    124
 iogs (   gs) : iter =     89 ; delta = 9.466533e-03 ; diff = 6.746952e-04 ; dt =  9413.8 sec ; nmult =    125
 iogs (   gs) : iter =     90 ; delta = 9.466533e-03 ; diff = 6.536233e-04 ; dt =  9488.9 sec ; nmult =    126
 iogs (   gs) : iter =     91 ; delta = 9.466533e-03 ; diff = 6.334538e-04 ; dt =  9564.1 sec ; nmult =    127
 iogs (   gs) : iter =     92 ; delta = 9.466533e-03 ; diff = 6.138260e-04 ; dt =  9639.2 sec ; nmult =    128
 iogs (   gs) : iter =     93 ; delta = 9.466533e-03 ; diff = 5.950295e-04 ; dt =  9714.4 sec ; nmult =    129
 iogs (   gs) : iter =     94 ; delta = 9.466533e-03 ; diff = 5.767182e-04 ; dt =  9789.5 sec ; nmult =    130
 iogs (   gs) : iter =     95 ; delta = 9.466533e-03 ; diff = 5.591953e-04 ; dt =  9864.8 sec ; nmult =    131
 iogs (   gs) : iter =     96 ; delta = 9.466533e-03 ; diff = 5.421065e-04 ; dt =  9940.1 sec ; nmult =    132
 iogs (   gs) : iter =     97 ; delta = 9.466533e-03 ; diff = 5.257429e-04 ; dt = 10015.2 sec ; nmult =    133
 iogs (   gs) : iter =     98 ; delta = 9.466533e-03 ; diff = 5.097769e-04 ; dt = 10090.7 sec ; nmult =    134
 iogs (   gs) : iter =     99 ; delta = 9.466533e-03 ; diff = 4.945105e-04 ; dt = 10166.9 sec ; nmult =    135
